No.,名称,名称_カナ,住所,lat,lng,男性トイレの有無,女性トイレの有無,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用可能な曜日,利用開始時間,利用終了時間,利用可能時間特記事項
46,精神保健福祉センタ−,セイシンホケンフクシセンター,徳島市新蔵町３丁目80,34.0699592,134.5607546,有,有,無,無,無,月火水木金,8:30,17:15,祝日，年末及び年始は利用不可。
47,障がい者交流プラザ,ショウガイシャコウリュウプラザ,徳島市南矢三町２丁目1-59,34.0844848,134.5257843,有,有,有,有,有,月火水木金土日,9:00,17:00,年末年始不可。平日は21:00まで可
48,徳島県立工業技術センター,トクシマケンリツコウギョウギジュツセンター,徳島市雑賀町西開11-2外,34.0401867,134.557858,有,有,有,無,無,月火水木金,9:00,17:00,祝日、年末及び年始は利用不可
49,徳島とくとくターミナル,トクシマトクトクターミナル,松茂町中喜来字前原東四番越14-1,34.1427334,134.5772436,有,有,有,無,無,月火水木金土日,0:00,23:59,
50,南阿波サンライン第１展望台,ミナミアワサンラインダイイチテンボウダイ,美波町日和佐浦453-4,33.7256614,134.5384215,有,有,有,無,有,月火水木金土日,0:00,23:59,
51,南阿波サンライン第４展望台,ミナミアワサンラインダイヨンテンボウダイ,牟岐町大字灘字水落66-2,33.6788289,134.4535761,有,有,有,無,有,月火水木金土日,0:00,23:59,
52,産業観光交流センタ−,サンギョウカンコウコウリュウセンター,徳島市山城町東浜傍示1-1,34.0532027,134.5623115,有,有,有,有,有,月火水木金土日,9:00,21:00,休館日：毎月第３火曜日（祝日の場合は翌日）
53,出島野鳥公園,デジマヤチョウコウエン,阿南市那賀川町みどり台1-1,33.967118,134.6492551,有,有,有,無,無,月火水木金土日,8:00,17:00,７月〜８月は５：００から１９：３０まで
54,美馬野外交流の郷,ミマヤガイコウリュウノサト,美馬市美馬町字境目39-10,34.0421769,134.0021314,有,有,有,有,有,月火水木金土日,8:00,22:00,お客様がいない場合は１７:００まで
55,あすたむらんど徳島,アスタムランドトクシマ,板野郡板野町那東字キビガ谷45-22,34.15347,134.4412365,有,有,有,有,有,月火水木金土日,9:30,17:00,"開園時間：７月から８月は１８：００まで
休園日：毎週水曜日（祝日の場合は翌日，８月１２日から１５日の水曜日は除く）"
56,徳島家畜保健衛生所,トクシマカチクホケンエイセイショ,徳島市南庄町５丁目94,34.0703604,134.50472,有,有,有,無,無,月火水木金,8:30,17:00,祝日，年末及び年始は利用不可。
57,徳島家畜保健衛生所阿南支所,トクシマカチクホケンエイセショアナンシショ,阿南市日開野町谷田483-3,33.916727,134.6674022,有,有,有,無,無,月火水木金,8:30,17:00,祝日，年末及び年始は利用不可。
58,西部家畜保健衛生所吉野川庁舎,セイブカチクホケンエイセイショヨシノガワチョウシャ,吉野川市鴨島町麻植塚字向麻山北136-3,34.0703743,134.3792108,有,有,無,無,無,月火水木金,8:30,17:00,祝日，年末及び年始は利用不可。
59,西部家畜保健衛生所東みよし庁舎,セイブカチクホケンエイセイショヒガシミヨシチョウシャ,東みよし町中庄856-1,34.0363041,133.9653811,有,有,無,無,無,月火水木金,8:30,17:00,祝日，年末及び年始は利用不可。
60,神山森林公園イルローザの森,カミヤマシンリンコウエンイルローザノモリ,神山町阿野字大地459-1外,34.0227857,134.4235024,有,有,有,有,有,月火水木金土日,9:00,17:00,12/28〜1/4は利用不可。
61,千年の森ふれあい館,センネンノモリフレアイカン,上勝町大字旭字中村66-1,33.8756839,134.3837561,有,有,有,有,無,月火木金土日,8:30,18:00,12/28〜1/4は利用不可。
62,農林水産総合技術支援センター（石井）,ノウリンスイサンソウゴウギジュツシエンセンター（イシイ）,石井町石井字石井1660外,34.0620499,134.4398513,有,有,有,有,有,月火水木金,8:30,17:15,祝日，年末及び年始は利用不可。
63,農林水産総合技術支援センター（勝浦）,ノウリンスイサンソウゴウギジュツシエンセンター（カツウラ）,勝浦町沼江字中筋11-12,33.939655,134.542794,有,有,有,無,有,月火水木金,8:30,17:15,祝日，年末及び年始は利用不可。
64,畜産研究課,チクサンケンキュウカ,上板町泉谷字砂コウ1,34.1276239,134.3982635,有,有,有,無,無,月火水木金,8:30,17:15,祝日，年末及び年始は利用不可。
65,水産研究課美波庁舎,スイサンケンキュウカミナミチョウシャ,美波町日和佐浦1-３,33.7325304,134.5405115,有,有,有,無,無,月火水木金,8:30,17:15,祝日，年末及び年始は利用不可。
66,水産研究課鳴門庁舎,スイサンケンキュウカナルトチョウシャ,鳴門市瀬戸町堂浦字地廻り壱96,34.2149676,134.5843011,有,有,有,無,無,月火水木金,8:30,17:15,祝日，年末及び年始は利用不可。
67,藍住農村青年の家,アイズミノウソンセイネンノイエ,藍住町東中富字朏傍示29,34.1283358,134.4762493,有,有,有,無,無,月火水木金,8:30,17:15,祝日，年末及び年始は利用不可。
68,鞆奥漁港,トモオクギョコウ,海部郡海陽町鞆浦字東町１６１,33.5912776,134.3637218,有,有,有,無,無,月火水木金土日,0:00,23:59,
69,鞆奥漁港,トモオクギョコウ,海部郡海陽町鞆浦字山下地先,33.5947395,134.3597148,有,有,有,無,無,月火水木金土日,0:00,23:59,
70,牟岐漁港,ムギギョコウ,海部郡牟岐町大字灘字下浜辺地先,33.6666701,134.4382404,有,有,有,無,無,月火水木金土日,0:00,23:59,
71,南部総合県民局県土整備部那賀庁舎,ナンブソウゴウケンミンキョクケンドセイビブナカチョウシャ,那賀町吉野字弥八かへ64-1,33.8131005,134.4764959,有,有,有,無,無,月火水木金,8:30,18:00,祝日，年末及び年始は利用不可。
72,東部県土整備局（徳島）正木ダム管理課庁舎,マサキダムカンリショ,上勝町大字正木字藤ノ内18-6,33.912915,134.4279915,有,無,無,無,無,月火水木金,8:30,17:15,土・日・祝日及び12/29〜1/3は利用不可。
73,東部県土整備局（吉野川）宮川内ダム管理所,ミヤゴウチダムカンリショ,阿波市土成町宮川内字平間58,34.1475705,134.3540275,有,有,無,無,無,月火水木金土日,8:30,17:15,
74,東部県土整備局（徳島）庁舎,トウブケンドセイビキョクトクシマチョウシャ,徳島市南末広町6-36,34.0596031,134.5767071,有,有,有,無,有,月火水木金,8:30,18:15,祝日，年末及び年始は利用不可。
75,亀浦港公衆便所,カメウラコウコウシュウベンジョ,鳴門市鳴門町土佐泊浦字大毛273地先,34.2304832,134.6233847,有,有,有,無,無,月火水木金土日,0:00,23:59,
76,岡崎海浜公園公衆便所,オカザキカイヒンコウエンコウシュウベンジョ,鳴門市撫養町岡崎字二等道路東10地先,34.1809495,134.6230596,有,有,有,無,無,月火水木金土日,0:00,23:59,
77,道の駅第九の里公衆便所,ミチノエキダイクノサトコウシュウベンジョ,鳴門市大麻町桧字東山田53,34.1638353,134.4988407,有,有,有,有,無,月火水木金土日,0:00,23:59,
78,川口ダム自然エネルギーミュージアム,カワグチエネミュー,那賀郡那賀町吉野字イヤ谷72-1,33.8001141,134.4664107,有,有,有,有,無,火水木金土日,9:30,16:30,年末年始は利用不可（12／29から1／1）
79,川口ダム自然エネルギーミュージアム第2駐車場,カワグチエネミューダイニチュウシャジョウ,那賀郡那賀町鉢字川原畑57,33.7971295,134.4612851,有,有,無,無,無,火水木金土日,9:30,16:30,年末年始は利用不可（12／29から1／1）
80,長安口ダム資料館,ナガヤスグチダムシリョウカン,那賀郡那賀町長安向イ20-14,33.8111697,134.3609107,有,有,有,無,無,月火水木金土日,0:00,23:59,
81,総合教育センター,ソウゴウキョウイクセンター,板野町犬伏字東谷1-7,34.1504554,134.4528054,有,有,有,有,有,月火水木金土日,8:30,17:00,年末及び年始は利用不可
82,牟岐少年自然の家,ムギショウネンシゼンノイエ,牟岐町大字灘字東谷116-35,33.6689625,134.4430271,有,有,有,無,無,月火水木金土日,8:30,17:00,"年末年始，お盆期間は利用不可。
利用開始時間・終了時間は変更の場合あり。"
